,Mkt-RF,SMB,HML,RMW,CMA,RF
20180102,0.85,0.3,-0.22,-0.5,0.31,0.006
20180103,0.59,-0.46,-0.18,-0.7,-0.06,0.006
20180104,0.42,-0.22,0.24,-0.02,0.31,0.006
20180105,0.66,-0.37,-0.26,0.37,-0.37,0.006
20180108,0.19,-0.2,0.04,-0.07,0,0.006
20180109,0.15,-0.38,-0.03,-0.13,0.03,0.006
20180110,-0.07,0.14,0.57,-0.33,0.03,0.006
20180111,0.87,1.13,0.31,-0.22,0.59,0.006
20180112,0.66,-0.32,0.16,-0.1,0.19,0.006
20180116,-0.49,-0.99,0.01,0.44,-0.41,0.006
20180117,0.95,-0.05,-0.1,-0.08,-0.1,0.006
20180118,-0.18,-0.43,-0.25,0.29,-0.38,0.006
20180119,0.57,0.94,-0.04,0.07,0.12,0.006
20180122,0.77,-0.35,-0.16,-0.54,0.23,0.006
20180123,0.22,0.07,-0.36,-0.38,-0.27,0.006
20180124,-0.13,-0.75,0.44,0,0.1,0.006
20180125,0.07,0.11,-0.54,0.19,-0.18,0.006
20180126,1.11,-0.61,-0.52,0.3,-0.17,0.006
20180129,-0.62,0,-0.25,0.14,-0.37,0.006
20180130,-1.06,0.12,-0.21,0.38,-0.41,0.006
20180131,-0.07,-0.68,0.11,0.1,-0.03,0.006
20180201,0.03,0.12,0.54,-0.54,0.01,0.006
20180202,-2.13,0.01,-0.29,0.61,-0.51,0.006
20180205,-4.03,0.66,-0.58,0.16,-0.07,0.006
20180206,1.67,-0.48,-0.18,0.05,-0.02,0.006
20180207,-0.38,0.61,0.21,0.34,0.23,0.006
20180208,-3.68,0.8,0.52,0.4,-0.04,0.006
20180209,1.36,-0.55,0.15,0.17,-0.33,0.006
20180212,1.36,-0.47,-0.3,-0.24,-0.09,0.006
20180213,0.31,0.13,-0.24,0.21,-0.11,0.006
20180214,1.52,0.29,0.48,-0.67,-0.03,0.006
20180215,1.21,-0.16,-0.63,0.19,-0.34,0.006
20180216,0.03,0.36,0.16,0.04,0.05,0.006
20180220,-0.62,-0.35,-0.24,-0.27,-0.14,0.006
20180221,-0.43,0.8,0.23,0.07,-0.19,0.006
20180222,0.01,-0.04,-0.4,0.13,0.48,0.006
20180223,1.54,-0.38,-0.15,-0.17,-0.06,0.006
20180226,1.12,-0.48,-0.07,-0.16,-0.24,0.006
20180227,-1.25,-0.19,0.03,-0.09,-0.06,0.006
20180228,-1.11,-0.43,-0.31,0.21,-0.26,0.006
20180301,-1.19,0.96,-0.02,-0.24,0.05,0.005
20180302,0.7,1.11,-0.49,-0.41,-0.35,0.005
20180305,1.06,-0.41,0.23,-0.59,0.09,0.005
20180306,0.36,0.69,0.12,0.22,-0.02,0.005
20180307,0.05,0.76,-0.44,-0.04,-0.31,0.005
20180308,0.37,-0.57,-0.36,0.01,-0.18,0.005
20180309,1.7,-0.2,0.28,-0.26,0.01,0.005
20180312,-0.09,0.44,-0.08,-0.34,-0.23,0.005
20180313,-0.67,0.1,0.03,0.48,0,0.005
20180314,-0.53,0.14,-0.58,-0.11,-0.39,0.005
20180315,-0.18,-0.38,0.32,0.14,-0.12,0.005
20180316,0.25,0.47,0.18,0.06,0.29,0.005
20180319,-1.38,0.41,0.41,0.32,0.1,0.005
20180320,0.15,-0.13,-0.36,-0.01,-0.07,0.005
20180321,-0.06,0.69,0.45,-1.08,0.87,0.005
20180322,-2.54,0.4,-0.49,0.21,0.01,0.005
20180323,-2.09,0.09,-0.23,0.13,0.77,0.005
20180326,2.67,-0.62,0.03,0,-0.61,0.005
20180327,-1.87,-0.23,0.37,0.78,0.53,0.005
20180328,-0.35,0.21,0.65,0.75,-0.08,0.005
20180329,1.41,-0.31,-0.22,-0.37,-0.16,0.005
20180402,-2.29,-0.09,0.36,0.17,-0.07,0.007
20180403,1.24,-0.02,0.19,0.26,0.19,0.007
20180404,1.17,0.34,-0.32,0.07,-0.13,0.007
20180405,0.75,0.05,0.47,0.11,0.28,0.007
20180406,-2.19,0.37,-0.06,0.14,-0.04,0.007
20180409,0.3,-0.24,-0.53,-0.75,-0.28,0.007
20180410,1.77,0.33,-0.12,-0.84,0.55,0.007
20180411,-0.49,0.79,-0.31,-0.62,0.3,0.007
20180412,0.84,-0.17,0.19,-0.22,0.09,0.007
20180413,-0.37,-0.1,-0.24,-0.07,0.2,0.007
20180416,0.82,0.14,-0.02,0.8,0.03,0.007
20180417,1.09,0.01,-1.18,-0.24,-0.4,0.007
20180418,0.13,0.21,0.02,-0.28,0.49,0.007
20180419,-0.49,-0.3,1.08,-0.48,0.07,0.007
20180420,-0.81,0.1,0.58,-0.54,0.28,0.007
20180423,-0.05,-0.06,0.2,0.29,0.11,0.007
20180424,-1.3,0.65,1.02,0.04,0.09,0.007
20180425,0.1,-0.27,0.08,0.4,0.14,0.007
20180426,0.96,-0.55,-0.85,-0.53,-0.43,0.007
20180427,0.01,-0.26,0.03,0.62,0.08,0.007
20180430,-0.8,-0.07,-0.1,-0.41,-0.07,0.007
20180501,0.24,0.25,-0.55,-0.04,-0.96,0.006
